Sample in Buffer,Sample in Window,TRIGGER,u_led_twinkle/led,u_led_twinkle/cnt[25:0]
476,476,0,1,28938630
477,477,0,1,28938631
478,478,0,1,28938632
479,479,0,1,28938633
480,480,0,1,28938634
481,481,0,1,28938635
482,482,0,1,28938636
483,483,0,1,28938637
484,484,0,1,28938638
485,485,0,1,28938639
486,486,0,1,28938640
487,487,0,1,28938641
488,488,0,1,28938642
489,489,0,1,28938643
490,490,0,1,28938644
491,491,0,1,28938645
492,492,0,1,28938646
493,493,0,1,28938647
494,494,0,1,28938648
495,495,0,1,28938649
496,496,0,1,28938650
497,497,0,1,28938651
498,498,0,1,28938652
499,499,0,1,28938653
500,500,0,1,28938654
501,501,0,1,28938655
502,502,0,1,28938656
503,503,0,1,28938657
504,504,0,1,28938658
505,505,0,1,28938659
506,506,0,1,28938660
507,507,0,1,28938661
508,508,0,1,28938662
509,509,0,1,28938663
510,510,0,1,28938664
511,511,0,1,28938665
512,512,1,1,28938666
513,513,0,1,28938667
514,514,0,1,28938668
515,515,0,1,28938669
516,516,0,1,28938670
517,517,0,1,28938671
518,518,0,1,28938672
519,519,0,1,28938673
520,520,0,1,28938674
521,521,0,1,28938675
522,522,0,1,28938676
523,523,0,1,28938677
524,524,0,1,28938678
525,525,0,1,28938679
526,526,0,1,28938680
527,527,0,1,28938681
528,528,0,1,28938682
529,529,0,1,28938683
530,530,0,1,28938684
531,531,0,1,28938685
532,532,0,1,28938686
533,533,0,1,28938687
534,534,0,1,28938688
535,535,0,1,28938689
536,536,0,1,28938690
537,537,0,1,28938691
538,538,0,1,28938692
539,539,0,1,28938693
540,540,0,1,28938694
541,541,0,1,28938695
542,542,0,1,28938696
543,543,0,1,28938697
544,544,0,1,28938698
545,545,0,1,28938699
546,546,0,1,28938700
547,547,0,1,28938701
548,548,0,1,28938702
549,549,0,1,28938703
550,550,0,1,28938704
551,551,0,1,28938705
552,552,0,1,28938706
553,553,0,1,28938707
554,554,0,1,28938708
555,555,0,1,28938709
556,556,0,1,28938710
557,557,0,1,28938711
558,558,0,1,28938712
559,559,0,1,28938713
560,560,0,1,28938714
561,561,0,1,28938715
562,562,0,1,28938716
563,563,0,1,28938717
564,564,0,1,28938718
565,565,0,1,28938719
566,566,0,1,28938720
567,567,0,1,28938721
568,568,0,1,28938722
569,569,0,1,28938723
570,570,0,1,28938724
571,571,0,1,28938725
572,572,0,1,28938726
573,573,0,1,28938727
574,574,0,1,28938728
575,575,0,1,28938729
